ruta,cohorte,estrato,serie_real,numero_real,tipo_real,parser_serie,parser_numero,veredicto
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Otros Superhéroes/Iberia Inc. - Integral 20 aniversario (Dolmen) [por capdiajo & redvirux] [CRG].cbr,otros superheroes,A_singleton,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Carta blanca (Jordi Lafebre).cbz,comic espanol,A_singleton,,,,,,
"/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/DC/El Regreso de Question (ECC - Spaceman Project) [Tildoras, CRGfunding].cbr",dc,A_singleton,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Alan Moore/La liga de los hombres extraordinarios -La Tempestad 02 por GBWilliams-Mastergel[Infinity-Gisicom].cbr,alan moore,A_singleton,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Santiago Sequeiros/To Apeirón - Sequeiros [brut comix].cbr,santiago sequeiros,A_singleton,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Tillie Walden/¿Me.estas.escuchando.-.Tillie.Walden.[jbabylon5][CRG].cbr,tillie walden,A_singleton,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Las Aventuras del Capitán Torrexno/_Avras Cap  Torrezno_Limbo sin fin_3_cilurnigo.cbz,las aventuras del capitan torrexno,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Isaac Sanchez/El Don(Eurocomicss).cbr,isaac sanchez,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/El Torres/Nancy in Hell Tomo 1(1).cbr,el torres,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Avengers/EVENTOS - La Era de Ultrón.cbr,avengers,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Bella Muerte/Bribones - el corazon de un dios - por Jiman(CRG - FPJ).cbr,bella muerte,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Caballero Luna Vol3/Caballero Luna Vol3 02 [por Carlos_1981][CRG](1).cbr,caballero luna vol3,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Tillie Walden/En un Rayo de sol/En un rayo de sol Vol.2 - Tillie Walden [xavib](1).cbr,en un rayo de sol,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Bella Muerte/Bella muerte - Volumen 2 El oso (Astiberri) [por capdiajo y Tildoras] [CRG](1).cbr,bella muerte,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Bella Muerte/Bella Muerte - Volumen 1 (Astiberri) por Carlos_1981 [CRG].cbr,bella muerte,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Caballero Luna Vol3/Caballero Luna Vol3 03 [por Carlos_1981][CRG].cbr,caballero luna vol3,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Las Aventuras del Capitán Torrexno/_Avras Cap  Torrezno_Limbo sin fin_3_cilurnigo(1).cbz,las aventuras del capitan torrexno,B_pequena,,,,,,
"/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Otros Superhéroes/Arrowsmith (COMPLETO)(CRG)/Arrowsmith (ECC) [Tildoras, CRG].cbr",arrowsmith completo crg,B_pequena,,,,,,
"/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Vertigo/Neil Gaiman/Estudio en Esmeralda [traducido por Gb, Letho y Vander][Infinity Cómics].cb7",neil gaiman,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Caballero Luna Vol3/Caballero Luna Vol3 01 [por Carlos_1981][CRG].cbr,caballero luna vol3,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Santiago Sequeiros/La Mala Pena/La Mala Pena 1 [por zaragway][CRG](1).cbr,la mala pena,B_pequena,,,,,,
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Los Inhumanos/Los Inhumanos vol.3 por Jiman(CRG).cbr,los inhumanos,B_pequena,,,,,,
