ruta,cohorte,estrato,serie_real,numero_real,tipo_real,requiere_contexto,parser_serie,parser_numero,veredicto,sha256
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Otros Superhéroes/Iberia Inc. - Integral 20 aniversario (Dolmen) [por capdiajo & redvirux] [CRG].cbr,otros superheroes,A_singleton,Iberia Inc,,tomo,False,Iberia Inc,,correcto_sin_numero,d662aae077bc2b54
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Carta blanca (Jordi Lafebre).cbz,comic espanol,A_singleton,Carta blanca,,obra_unica,False,Carta blanca,,correcto_sin_numero,58495ea3f52c1c12
"/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/DC/El Regreso de Question (ECC - Spaceman Project) [Tildoras, CRGfunding].cbr",dc,A_singleton,El Regreso de Question,,obra_unica,False,El Regreso de Question,,correcto_sin_numero,822662a8a9a6adae
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Alan Moore/La liga de los hombres extraordinarios -La Tempestad 02 por GBWilliams-Mastergel[Infinity-Gisicom].cbr,alan moore,A_singleton,La liga de los hombres extraordinarios,2,grapa,False,La liga de los hombres extraordinarios,2,ok,566d20bdb090cf7c
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Santiago Sequeiros/To Apeirón - Sequeiros [brut comix].cbr,santiago sequeiros,A_singleton,To Apeirón,,obra_unica,False,To Apeirón,,correcto_sin_numero,165d989114e9f114
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Tillie Walden/¿Me.estas.escuchando.-.Tillie.Walden.[jbabylon5][CRG].cbr,tillie walden,A_singleton,Me estas escuchando,,obra_unica,False,¿Me estas escuchando,,correcto_sin_numero,663d20665e93ff81
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Las Aventuras del Capitán Torrexno/_Avras Cap  Torrezno_Limbo sin fin_3_cilurnigo.cbz,las aventuras del capitan torrexno,B_pequena,Las Aventuras del Capitán Torrezno,3,tomo,True,Avras Cap Torrezno Limbo sin fin,3,error_serie,0d3c797f20c294f1
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Isaac Sanchez/El Don(Eurocomicss).cbr,isaac sanchez,B_pequena,El Don,,obra_unica,False,El Don,,correcto_sin_numero,714668e0d850ddc3
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/El Torres/Nancy in Hell Tomo 1(1).cbr,el torres,B_pequena,Nancy in Hell,1,tomo,False,Nancy in Hell,,numero_perdido,9f691f4ef283f729
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Avengers/EVENTOS - La Era de Ultrón.cbr,avengers,B_pequena,La Era de Ultrón,,obra_unica,False,La Era de Ultrón,,correcto_sin_numero,e790d42025f6f4d2
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Bella Muerte/Bribones - el corazon de un dios - por Jiman(CRG - FPJ).cbr,bella muerte,B_pequena,Bribones,,obra_unica,False,Bribones,,correcto_sin_numero,477f57c017ba6dcf
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Caballero Luna Vol3/Caballero Luna Vol3 02 [por Carlos_1981][CRG](1).cbr,caballero luna vol3,B_pequena,Caballero Luna,2,grapa,False,Caballero Luna,2,ok,a854ed84bad006e2
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Tillie Walden/En un Rayo de sol/En un rayo de sol Vol.2 - Tillie Walden [xavib](1).cbr,en un rayo de sol,B_pequena,En un rayo de sol,2,tomo,False,En un rayo de sol,,numero_perdido,6e7948161d611ef4
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Bella Muerte/Bella muerte - Volumen 2 El oso (Astiberri) [por capdiajo y Tildoras] [CRG](1).cbr,bella muerte,B_pequena,Bella Muerte,2,tomo,False,Bella muerte,2,ok,977f1f3d24053260
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Bella Muerte/Bella Muerte - Volumen 1 (Astiberri) por Carlos_1981 [CRG].cbr,bella muerte,B_pequena,Bella Muerte,1,tomo,False,Bella Muerte,1,ok,a844deb866734f3f
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Caballero Luna Vol3/Caballero Luna Vol3 03 [por Carlos_1981][CRG].cbr,caballero luna vol3,B_pequena,Caballero Luna,3,grapa,False,Caballero Luna,3,ok,9ee9848ede01abdf
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Las Aventuras del Capitán Torrexno/_Avras Cap  Torrezno_Limbo sin fin_3_cilurnigo(1).cbz,las aventuras del capitan torrexno,B_pequena,Las Aventuras del Capitán Torrezno,3,tomo,True,Avras Cap Torrezno Limbo sin fin,3,error_serie,0d3c797f20c294f1
"/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Otros Superhéroes/Arrowsmith (COMPLETO)(CRG)/Arrowsmith (ECC) [Tildoras, CRG].cbr",arrowsmith completo crg,B_pequena,Arrowsmith,,tomo,False,Arrowsmith,,correcto_sin_numero,0e8222a279243a5f
"/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Vertigo/Neil Gaiman/Estudio en Esmeralda [traducido por Gb, Letho y Vander][Infinity Cómics].cb7",neil gaiman,B_pequena,Estudio en Esmeralda,,obra_unica,False,Estudio en Esmeralda,,correcto_sin_numero,ba828758faacbae4
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Caballero Luna Vol3/Caballero Luna Vol3 01 [por Carlos_1981][CRG].cbr,caballero luna vol3,B_pequena,Caballero Luna,1,grapa,False,Caballero Luna,1,ok,1dfd8ec8d52ada36
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Santiago Sequeiros/La Mala Pena/La Mala Pena 1 [por zaragway][CRG](1).cbr,la mala pena,B_pequena,La Mala Pena,1,tomo,False,La Mala Pena,1,ok,a154e61f9e194deb
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Los Inhumanos/Los Inhumanos vol.3 por Jiman(CRG).cbr,los inhumanos,B_pequena,Los Inhumanos,3,tomo,False,Los Inhumanos,,numero_perdido,4ee83e5f6ddc82a9
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Europeo/Moebius-Giraud/El Incal/El.Incal.(Integral).-.Jodorowsky.&.Moebius.[jbabylon5][16º.Aniversario.CRG].cbr,el incal,B_pequena,El Incal,,tomo,False,El Incal,,correcto_sin_numero,3844a95166a545bb
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Santiago Sequeiros/La Mala Pena/La Mala Pena 2 [por zaragway][CRG].cbr,la mala pena,B_pequena,La Mala Pena,2,tomo,False,La Mala Pena,2,ok,9503fc993a703f68
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Tillie Walden/En un Rayo de sol/En un rayo de sol Vol.2 - Tillie Walden [xavib].cbr,en un rayo de sol,B_pequena,En un rayo de sol,2,tomo,False,En un rayo de sol,,numero_perdido,6e7948161d611ef4
"/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Independiente Americano/Vertigo/El País Libre.- Un Relato de la Cruzada de los Niños (ECC) [Tildoras, CRG].cbr",vertigo,B_pequena,El País Libre,,obra_unica,False,El País Libre,,correcto_sin_numero,ced3ba365f29027d
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Los Inhumanos/Los Inhumanos vol.3 por Jiman(CRG)(1).cbr,los inhumanos,B_pequena,Los Inhumanos,3,tomo,False,Los Inhumanos,,numero_perdido,4ee83e5f6ddc82a9
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/El Torres/Nancy in Hell Tomo 1.cbr,el torres,B_pequena,Nancy in Hell,1,tomo,False,Nancy in Hell,,numero_perdido,9f691f4ef283f729
/mnt/Datos/Descargas/Tebeos/Tebeos/Superhéroes/Marvel/Avengers/EVENTOS - La Era de Ultrón(1).cbr,avengers,B_pequena,La Era de Ultrón,,obra_unica,False,La Era de Ultrón,,correcto_sin_numero,e790d42025f6f4d2
/mnt/Datos/Descargas/Tebeos/Tebeos/Cómic Español/Santiago Sequeiros/La Mala Pena/La Mala Pena 1 [por zaragway][CRG].cbr,la mala pena,B_pequena,La Mala Pena,1,tomo,False,La Mala Pena,1,ok,a154e61f9e194deb
